Station Code,DateTimeStamp,TSS,F_TSS,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,11/21/2003 6:40,,<-1>,8.2,<4>,,<-1>
gtmpcnut,11/21/2003 9:10,,<-1>,6.8,<4>,,<-1>
gtmpcnut,11/21/2003 11:40,,<-1>,6.6,<4>,,<-1>
gtmfmnut,11/24/2003 10:33,53,<4>,3,<4>,1,<4>
gtmfmnut,11/24/2003 10:34,31,<4>,2.8,<4>,1,<4>
gtmssnut,11/24/2003 11:10,69,<4>,3.6,<4>,0.8,<4>
gtmssnut,11/24/2003 11:11,35,<4>,5,<4>,0.8,<4>
gtmpinut,11/24/2003 12:24,40,<4>,6.6,<4>,1,<4>
gtmpinut,11/24/2003 12:25,38,<4>,3.1,<4>,1,<4>
gtmpcnut,12/10/2003 10:55,,<-1>,2.7,<4>,,<-1>
gtmpcnut,12/10/2003 11:06,29,<4>,1.5,<4>,1,<4>
gtmpcnut,12/10/2003 11:07,32,<4>,2.6,<4>,1,<4>
gtmpcnut,12/10/2003 13:25,,<-1>,3.2,<4>,,<-1>
gtmpcnut,12/10/2003 15:55,,<-1>,4.3,<4>,,<-1>
gtmpcnut,12/10/2003 18:55,,<-1>,3.9,<4>,,<-1>
gtmpcnut,12/10/2003 20:55,,<-1>,4.1,<4>,,<-1>
